ear_f_83.stu,0.26554,134,45,4,50.4526,56.2615
hec_s_92.stu,0.4155,62,32,9,33.65,36.55
sta_f_83.stu,0.143,61,16,7,19.87,67.61
ute_s_92.stu,0.08448,58,13,2,15.54,69.32
kfu_s_93.stu,0.05546,247,18,0,25.57,120.1
yor_f_83.stu,0.2873,117,51,7,52,35.32
car_f_92.stu,0.1377,381,63,0,74.79,75.41
car_s_91.stu,0.1282,472,77,0,87.43,70.96
lse_f_91.stu,0.06243,134,16,0,23.78,93.28
pur_s_93.stu,0.02948,857,47,0,71.32,129.5
rye_s_93.stu,0.07512,274,24,0,36.51,111.9
tre_s_92.stu,0.18,145,45,0,46.98,59.73
uta_s_92.stu,0.1254,303,65,1,77.97,73.73
